palabra,gematria,reduccion,traduccion,pagina
ויהי,31,4,yFue,G74
ממחרת,688,22,alDiaSiguente,G74
ותאמר,647,17,yDijo,G74
הבכירה,242,8,laMayor,G74
אל,31,4,a,G74
הצעירה,380,11,laMenor,G74
הן,705,12,he,G74
שכבתי,732,12,yoYaci,G74
אמש,341,8,anoche,G74
את,401,5,con,G74
אבי,13,4,miPadre,G74
נשקנו,506,11,hagamosleBeber,G74
יין,720,9,vino,G74
גם,603,9,tambien,G74
הלילה,80,8,estaNoche,G74
ובאי,19,10,yVe,G74
שכבי,332,8,yace,G74
עמו,116,8,conEl,G74
ונחיה,79,16,yConservemos,G74
מאבינו,109,10,porNuestroPadre,G74
זרע,277,16,desendencia,G74
ותשקין,1516,13,eHicieronBeber,G74
גם,603,9,tambien,G74
בלילה,77,14,enLaNoche,G74
ההוא,17,8,laAquella,G74
את,401,5,a,G74
אביהן,718,16,suPadre,G74
יין,720,9,vino,G74
ותקם,1106,8,yFue,G74
הצעירה,380,11,laMenor,G74
ותשכב,728,17,yYacio,G74
עמו,116,8,conEl,G74
ולא,37,10,yNo,G74
ידע,84,12,supoEl,G74
בשכבה,329,14,cuandoYacioElla,G74
ובקמה,153,9,yCuandoSeLevanto,G74
ותהרין,1321,7,yConsibieron,G74
שתי,710,8,dos,G74
בנות,458,17,hijasDe,G74
לוט,45,9,lot,G74
מאביהן,758,20,porSuPadre,G74
ותלד,440,8,yDioALuz,G74
הבכירה,242,8,laMayor,G74
בן,702,9,unHijo,G74
ותקרא,707,14,yLlamo,G74
שמו,346,13,suNombre,G74
מואב,49,13,moab,G74
הוא,12,3,el,G74
אבי,13,4,padreDe,G74
מואב,49,13,moab,G74
עד,74,11,hasta,G74
היום,621,9,hoy,G74
והצעירה,386,17,yLaMenor,G74
גם,603,9,tambien,G74
הוא,12,3,ella,G74
ילדה,49,13,dioALuz,G74
בן,702,9,unHijo,G74
ותקרא,707,14,yLlamo,G74
שמו,346,13,suNombre,G74
בן,702,9,ben,G74
עמי,120,3,ammi,G74
הוא,12,3,el,G74
אבי,13,4,padreDe,G74
בני,62,8,hijosDe,G74
עמון,816,15,amon,G74
עד,74,11,hasta,G74
היום,621,9,hoy,G74
ויסע,146,11,yPartio,G74
משם,940,13,deAlli,G74
אברהם,808,16,abraham,G74
ארצה,296,17,aTierraDe,G74
הנגב,60,6,elNeguev,G74
וישב,318,12,yHabito,G74
בין,712,10,entre,G74
קדש,404,8,cades,G74
ובין,718,16,yEntre,G74
שור,506,11,shur,G74
ויגר,719,17,yResidio,G74
בגרר,405,9,enGerar,G74
ויאמר,257,14,yDijo,G74
אברהם,808,16,abraham,G74
אל,31,4,de,G74
שרה,505,10,sara,G74
אשתו,707,14,suMujer,G74
אחתי,419,14,miHermana,G74
הוא,12,3,ella,G74
וישלח,354,12,yEnvio,G74
אבימלך,583,16,abimelec,G74
מלך,570,12,reyDe,G74
גרר,403,7,gerar,G74
ויקח,124,7,yTomo,G74
את,401,5,a,G74
שרה,505,10,sara,G74
ויבא,19,10,yVino,G74
אלהים,646,16,dios,G74
את,401,5,a,G74
אבימלך,583,16,abimelec,G74
בחלום,646,16,enSueño,G74
הלילה,80,8,aquellaNoche,G74
ויאמר,257,14,yDijo,G74
לו,36,9,aEl,G74
הנך,555,15,miraTu,G76
מת,440,8,muerto,G76
על,100,1,porCausaDe,G76
האשה,311,5,laMujer,G76
אשר,501,6,que,G76
לקחת,538,16,tomaste,G76
והוא,18,9,puesElla,G76
בעלת,502,7,casada,G76
בעל,102,3,conMarido,G76
ואבימלך,589,22,yAbimalelec,G76
לא,31,4,no,G76
קרב,302,5,seAcerco,G76
אליה,46,10,aElla,G76
ויאמר,257,14,yDijo,G76
אדני,65,11,señorMio,G76
הגוי,24,6,acasoPueblo,G76
גם,603,9,tambien,G76
צדיק,204,6,justo,G76
תהרג,608,14,destruiras,G76
הלא,36,9,acasoNo,G76
הוא,12,3,el,G76
אמר,241,7,dijo,G76
לי,40,4,aMi,G76
אחתי,14,5,miHermana,G76
הוא,12,3,ella,G76
והיא,22,4,yElla,G76
גם,603,9,tambien,G76
הוא,12,3,ella,G76
אמרה,246,12,dijo,G76
אחי,19,10,miHermano,G76
הוא,12,3,el,G76
בתם,1002,3,conSencillez,G76
לבבי,44,8,deMiCorazon,G76
ובנקין,868,22,yConLimpiezaDe,G76
כפי,110,2,mismanos,G76
זאת,408,12,esto,G76
ויאמר,257,14,yDijo,G76
אליו,47,11,aEl,G76
האלהים,651,12,dios,G76
בחלם,640,10,enSueño,G76
גם,603,9,tambien,G76
אנכי,81,9,yo,G76
ידעתי,494,17,conoci,G76
כי,30,3,que,G76
בתם,1002,3,conSencillezDe,G76
לבבך,534,12,tuCorazon,G76
עשית,780,15,hiciste,G76
זאת,408,12,esto,G76
ואחשך,815,14,yLibre,G76
גם,603,9,tambien,G76
אנכי,81,9,yo,G76
אותך,907,16,aTi,G76
מחטו,63,9,dePecar,G76
לי,40,4,contraMi,G76
על,100,1,por,G76
כן,720,9,eso,G76
לא,31,4,no,G76
נתתיך,1360,10,fusible,G76
לנגע,153,9,infectar,G76
אליה,46,10,aElla,G76
ועתה,481,13,yHaora,G76
השב,307,10,respuesta,G76
אשת,701,8,esposa,G76
האיש,316,10,elHombre,G76
כי,30,3,que,G76
נביא,63,9,profeta,G76
הוא,12,3,el,G76
ויתפלל,556,16,yOrara,G76
בעדך,576,18,porTi,G76
וחיה,29,11,yViviras,G76
ואם,6007,13,ySi,G76
אינך,561,12,tuNo,G76
משיב,352,10,devuelves,G76
דע,74,11,entiende,G76
כי,30,3,que,G76
מות,446,14,morir,G76
תמות,846,18,moriras,G76
אתה,406,10,tu,G76
וכל,56,11,yTodo,G76
אשר,501,6,loQue,G76
לך,530,8,contigo,G76
וישכם,936,18,ySeLevanto,G76
אבימלך,583,16,abimelec,G76
בבקר,304,7,porLaMañana,G76
ויקרא,317,11,yLlamo,G76
לכל,80,8,aTodos,G76
עבדיו,92,11,susSiervos,G76
וידבר,222,6,yHablo,G76
את,401,5,**,G76
כל,50,5,todas,G76
הדברים,821,11,laspalabras,G76
האלה,41,5,lasEstas,G76
באזניהם,675,18,enSusOidos,G76
וייראו,233,8,yTemieron,G76
האנשים,966,21,losHombres,G76
מאד,45,9,mucho,G76
ויקרא,317,11,yLlamo,G76
אבימלך,583,16,abimelec,G76
לאברהם,838,19,aAbraham,G76
ויאמר,257,14,yDijo,G76
לו,36,9,aEl,G76
מה,45,9,que,G76
עשית,780,15,hiciste,G76
לנו,86,14,aNosotros,G76
ומה,51,6,yQue,G76
חטאתי,428,14,hePecado,G76
לך,530,8,contraTi,G76
כי,30,3,que,G76
הבאת,408,12,trajiste,G76
עלי,110,2,sobreMi,G76
ועל,106,7,ySobre,G76
ממלכתי,540,9,miReino,G76
חטאה,23,5,pecado,G76
גדלה,42,6,grande,G76
מעשים,1020,3,echos,G76
אשר,501,6,que,G76
לא,31,4,no,G76
יעשו,386,17,seDebenHacer,G76
עשית,780,15,hiciste,G76
עמדי,124,7,conMigo,G76
ויאמר,257,14,yDijo,G76
אבימלך,583,16,abimelec,G76
אל,31,4,a,G76
אברהם,808,16,abraham,G76
מה,45,9,que,G76
ראית,611,8,pensaste,G76
כי,30,3,que,G76
עשית,780,15,hiciste,G76
את,401,5,**,G76
הדבר,211,4,laCosa,G76
הזה,17,8,laEste,G76
ויאמר,257,14,yDijo,G76
אברהם,808,16,abraham,G76
כי,30,3,porQue,G76
אמרתי,651,12,dije,G76
רק,300,3,ciertamente,G76
אין,711,9,noHay,G76
יראת,611,8,temorDe,G76
אלהים,646,16,dios,G76
במקום,748,19,enElLugar,G76
הזה,17,8,elEste,G76
והרגוני,280,10,yMeMataran,G76
על,100,1,por,G76
דבר,206,8,asuntoDe,G76
אשתי,711,9,miMujer,G76
וגם,609,15,yAdemas,G76
אמנה,96,15,enVerdad,G76
אחתי,419,14,miHermana,G76
בת,402,6,hijaDe,G76
אבי,13,4,miPadre,G76
הוא,12,3,ella,G76
אך,501,6,aunque,G76
לא,31,4,no,G76
בת,402,6,hijaDe,G76
אמי,51,6,miMadre,G76
ותהי,421,7,yFue,G76
לי,40,4,paraMi,G76
לאשה,336,12,porMujer,G76
ותהי,421,7,yFue,G76
כאשר,521,8,cuando,G76
התעו,481,13,hizoSalir,G76
אתי,411,6,aMi,G76
אלהים,646,16,dios,G76
מבית,452,11,deCasaDe,G76
אבי,13,4,miPadre,G76
ואמר,247,13,yDije,G76
לה,35,8,aElla,G76
זה,12,3,esta,G76
חסדך,572,14,laMerced,G76
אשר,501,6,que,G76
תעשי,780,15,haras,G76
עמדי,124,7,aMi,G76
אל,31,4,a,G76
כל,50,5,todo,G76
המקום,751,13,elLugar,G76
אשר,501,6,que,G76
נבוא,59,14,vayamos,G76
שמה,345,12,alli,G76
אמרי,251,8,di,G76
לי,40,4,deMi,G76
אחי,19,10,miHermano,G76
הוא,12,3,aEl,G76
ויקח,124,7,yTomo,G76
אבימלך,583,16,abimelec,G76
צאן,791,17,ovejas,G76
ובקר,308,11,yVacas,G76
ועבדים,692,17,ySiervos,G76
ושפחת,794,20,ySiervas,G76
ויתן,1116,9,yDio,G76
לאברהם,838,19,aAbraham,G76
וישב,318,12,yDevolvio,G76
לו,36,9,aEl,G76
את,401,5,a,G76
שרה,505,10,sarah,G76
אשתו,707,14,suMujer,G76
ויאמר,257,14,yDijo,G76
אבימלך,583,16,abimelec,G76
הנה,60,6,heAqui,G76
ארצי,301,4,miTierra,G76
לפניך,670,13,anteTi,G76
בטוב,19,10,enLaBuena,G76
בעיניך,642,12,enTusOjos,G76
שב,302,5,habita,G76
ולשרה,541,10,yASara,G76
אמר,241,7,dijo,G76
הנה,60,6,heAqui,G76
נתתי,860,14,doy,G76
אלף,831,12,milDe,G76
כסף,880,16,plata,G76
לאחיך,549,18,aTuHermano,G76
הנה,60,6,heAqui,G76
הוא,12,3,el,G76
לך,530,8,paraTi,G76
כסות,486,18,veloDe,G76
עינים,740,11,ojos,G76
לכל,80,8,paraTodos,G76
אשר,501,6,que,G76
אתך,901,10,conTigo,G78
ואת,407,11,yAnte,G78
כל,50,5,todos,G78
ונכחת,484,16,yEresRestaurada,G78
ויתפלל,556,16,yOro,G78
אברהם,808,16,abraham,G78
אל,31,4,a,G78
האלהים,651,12,aDios,G78
וירפא,297,18,ySano,G78
אלהים,646,16,dios,G78
את,401,5,a,G78
אבימלך,583,16,abimelec,G78
ואת,407,11,yA,G78
אשתו,707,14,suMujer,G78
ואמהתיו,468,18,ySusSiervas,G78
וילדו,56,11,yDieronALuz,G78
כי,30,3,porQue,G78
עצר,360,9,cerrar,G78
עצר,360,9,cerro,G78
יהוה,26,8,Ashem,G78
בעד,76,13,despues,G78
כל,50,5,todo,G78
רחם,808,16,vientre,G78
לבית,442,10,enCasaDe,G78
אבימלך,583,16,abimelec,G78
על,100,1,por,G78
דבר,206,8,asuntoDe,G78
שרה,505,10,sarah,G78
אשת,701,8,mujerDe,G78
אברהם,808,16,abraham,G78
ויהוה,32,5,yAshem,G78
פקד,184,13,cuido,G78
את,401,5,a,G78
שרה,505,10,sarah,G78
כאשר,521,8,como,G78
אמר,241,7,dijo,G78
ויעש,386,17,eHizo,G78
יהוה,26,8,ashem,G30
לשרה,535,13,aSarah,G78
כאשר,521,8,como,G78
דבר,206,8,hablo,G78
ותהר,611,8,yConcibio,G78
ותלד,440,8,yDioALuz,G78
שרה,505,10,sarah,G78
לאברהם,838,19,paraAbraham,G78
בן,702,9,unHijo,G78
לזקניו,203,5,enSuVejes,G78
למועד,150,6,enElTiempo,G78
אשר,501,6,que,G78
דבר,206,8,hablo,G78
אתו,407,11,aEl,G78
אלהים,646,16,dios,G78
ויקרא,317,11,yllamo,G78
אברהם,808,16,abraham,G78
את,401,5,**,G78
שם,900,9,nombreDe,G78
בנו,58,13,suHijo,G78
הנולד,95,14,elNacido,G78
לו,36,9,aEl,G78
אשר,501,6,que,G78
ילדה,49,13,dioALuz,G78
לו,36,9,paraEl,G78
שרה,505,10,sarah,G78
יצחק,208,10,isaac,G78
וימל,86,14,yCircuncido,G78
אברהם,808,16,abraham,G78
את,401,5,a,G78
יצחק,208,10,isaac,G78
בנו,58,13,suHijo,G78
בן,702,9,edadDe,G78
שמנת,790,16,ocho,G78
ימים,660,12,dias,G78
כאשר,521,8,como,G78
צוה,101,2,ordeno,G78
אתו,407,11,aEl,G78
אלהים,646,16,dios,G78
ואברהם,814,13,yAbraham,G78
בן,702,9,edadDe,G78
מאת,441,9,cien,G78
שנה,355,13,año,G78
בהולד,47,11,enNacer,G78
לו,36,9,aEl,G78
את,401,5,**,G78
יצחק,208,10,isaac,G78
בנו,58,13,suHijo,G78
ותאמר,647,17,yDijo,G78
שרה,505,10,sarah,G78
צחק,198,18,risa,G78
עשה,375,15,hizo,G78
לי,40,4,aMi,G78
אלהים,646,16,dios,G78
כל,50,5,todo,G78
השמע,415,10,elQueOiga,G78
יצחק,208,10,reira,G78
לי,40,4,conMigo,G78
ותאמר,647,17,yDijo,G78
מי,50,5,quien,G78
מלל,100,1,dijera,G78
לאברהם,838,19,aAbraham,G78
היניקה,180,9,amamantara,G78
בנים,662,14,hijos,G78
שרה,505,10,sarah,G78
כי,30,3,que,G78
ילדתי,454,13,dioALuz,G78
בן,702,9,unHijo,G78
לזקניו,203,5,enSuVejez,G78
ויגדל,53,8,yCrecio,G78
הילד,49,13,elNiño,G78
ויגמל,89,17,yFueDestetado,G78
ויעש,386,17,eHizo,G78
אברהם,808,16,abraham,G78
משתה,745,16,fiesta,G78
גדול,43,7,grande,G78
ביום,618,15,enDiaDe,G78
הגמל,78,15,destetar,G78
את,401,5,a,G78
יצחק,208,10,isaac,G78
ותרא,607,13,yVio,G78
שרה,505,10,sarah,G78
את,401,5,**,G78
בן,702,9,hijoDe,G78
הגר,208,10,hagar,G78
המצרית,745,16,laEgipcia,G78
אשר,501,6,que,G78
ילדה,49,13,dioALuz,G78
לאברהם,838,19,paraAbraham,G78
מצחק,238,13,seBurlaba,G78
ותאמר,647,17,yDijo,G78
לאברהם,838,19,aAbraham,G78
גרש,503,8,expulsa,G78
האמה,51,6,laEsclava,G78
הזאת,413,8,laEsta,G78
ואת,407,11,yA,G78
בנה,57,12,suHijo,G78
כי,30,3,porQue,G78
לא,31,4,no,G78
יירש,520,7,heredara,G78
בן,702,9,hijoDe,G78
האמה,51,6,laEsclava,G78
הזאת,413,8,laEsta,G78
עם,670,13,con,G78
בני,62,8,miHijo,G78
עם,670,13,con,G78
יצחק,208,10,isaac,G78
וירע,286,16,yPreocupo,G78
הדבר,211,4,elAsunto,G78
מאד,45,9,mucho,G78
בעיני,142,7,enOjosDe,G78
אברהם,808,16,abraham,G78
על,100,1,por,G78
אודת,411,6,causaDe,G78
בנו,58,13,suHijo,G78
ויאמר,257,14,yDijo,G78
אלהים,646,16,dios,G78
אל,31,4,a,G78
אברהם,808,16,abraham,G78
אל,31,4,no,G78
ירע,280,10,hayaTemor,G78
בעיניך,642,12,enTusOjos,G78
על,100,1,por,G78
הנער,325,10,elMuchacho,G78
ועל,106,7,yPor,G78
אמתך,941,14,tuSierva,G78
כל,50,5,todo,G78
אשר,501,6,loQue,G78
תאמר,641,11,dijo,G78
אליך,541,10,aTi,G78
שרה,505,10,sara,G78
שמע,410,5,escucha,G78
בקלה,137,11,aSuVoz,G78
כי,30,3,porQue,G78
ביצחק,210,3,enIsaac,G78
יקרא,311,5,seraLlamada,G78
לך,530,8,aTi,G78
זרע,277,16,desendencia,G78
וגם,609,15,yTambien,G78
את,401,5,**,G78
בן,702,9,hijoDe,G78
האמה,51,6,laEsclava,G78
לגוי,49,13,paraNacion,G78
אשימנו,407,11,leHare,G78
כי,30,3,porQue,G78
זרעך,777,21,tuDesendencia,G78
הוא,12,3,el,G78
וישכם,936,18,ySeLevanto,G78
אברהם,808,16,abraham,G78
בבקר,304,7,porLaMañana,G78
ויקח,124,7,yTomo,G78
לחם,638,17,pan,G78
וחמת,454,13,yOrdeDe,G78
מים,650,11,agua,G78
ויתן,1116,9,yDijo,G78
אל,31,4,a,G78
הגר,208,10,hagar,G78
שם,900,9,puso,G78
על,100,1,sobre,G78
שכמה,365,14,suHombro,G78
ואת,407,11,yA,G78
הילד,49,13,elNiño,G78
וישלחה,359,17,yLaDespidio,G78
ותלך,936,18,yMarcho,G78
ותתע,876,21,yAnduvoErrante,G78
במדבר,248,14,enDeciertoDe,G78
באר,203,5,beer,G78
שבע,372,12,seba,G78
ויכלו,72,9,ySeTerminaron,G78
המים,655,16,lasAguas,G78
מן,740,11,de,G78
החמת,453,12,elPellejo,G78
ותשלך,1236,12,yPuso,G78
את,401,5,a,G78
הילד,49,13,elNiño,G78
תחת,808,16,bajo,G78
אחד,13,4,un,G78
השיחם,923,14,arbusto,G78
ותלך,936,18,yMarcho,G78
ותשב,708,15,ySeSento,G78
לה,35,8,sola,G78
מנגד,97,16,cerca,G78
הרחק,313,7,aDistancia,G78
כמטחוי,93,12,comoTiradoresDe,G78
קשת,800,8,arco,G78
כי,30,3,porQue,G78
אמרה,246,12,dijo,G78
אל,31,4,no,G78
אראה,207,9,vere,G80
במות,448,16,enMuerteDe,G80
הילד,49,13,elNiño,G80
ותשב,708,15,ySeSento,G80
מנגד,97,16,cerca,G80
ותשא,707,14,yElevo,G80
את,401,5,**,G80
קלה,135,9,suVoz,G80
ותבך,908,17,ySollozo,G80
וישמע,426,12,yOyo,G80
אלהים,646,16,dios,G80
את,401,5,**,G80
קול,136,10,vozDe,G80
הנער,325,10,elMuchacho,G80
ויקרא,317,11,yLlamo,G80
מלאך,571,13,angelDe,G80
אלהים,646,16,dios,G80
אל,31,4,a,G80
הגר,208,10,hagar,G80
מן,740,11,desde,G80
השמים,955,19,losCielos,G80
ויאמר,257,14,yDijo,G80
לה,35,8,aElla,G80
מה,45,9,que,G80
לך,530,8,aTi,G80
הגר,208,10,hagar,G80
אל,31,4,no,G80
תיראי,621,9,temas,G80
כי,30,3,porQue,G80
שמע,410,5,oyo,G80
אלהים,646,16,dios,G80
אל,31,4,*,G80
קול,136,10,vozDe,G80
הנער,325,10,elMuchacho,G80
האשר,506,11,que,G80
הוא,12,3,el,G80
שם,900,9,alli,G80
קומי,156,12,levanta,G80
שאי,311,5,alza,G80
את,401,5,a,G80
הנער,325,10,elMuchacho,G80
והחזיקי,146,11,yTraba,G80
את,401,5,con,G80
ידך,514,10,tumano,G80
בו,8,8,deEl,G80
כי,30,3,pues,G80
לגוי,49,13,paraNacion,G80
גדול,43,7,grande,G80
אשימנו,407,11,leHare,G80
ויפקח,204,6,yAbrio,G80
אלהים,646,16,dios,G80
את,401,5,**,G80
עיניה,145,10,susOjos,G80
ותרא,607,13,yVio,G80
באר,203,5,unPozoDe,G80
מים,650,11,aguas,G80
ותלך,936,18,yFue,G80
ותמלא,477,18,ylleno,G80
את,401,5,**,G80
החמת,453,12,orbeDeCuero,G80
מים,650,11,aguas,G80
ותשק,806,14,yDioABeber,G80
את,401,5,a,G80
הנער,325,10,elMuchacho,G80
ויהי,31,4,yFue,G80
אלהים,646,16,dios,G80
את,401,5,con,G80
הנער,325,10,elMuchacho,G80
ויגדל,53,8,yCrecio,G80
וישב,318,12,yHabito,G80
במדבר,248,14,enElDecierto,G80
ויהי,31,4,yFue,G80
רבה,207,9,tiradorDe,G80
קשת,800,8,arco,G80
וישב,318,12,yHabito,G80
במדבר,248,14,enDeciertoDe,G80
פארן,981,18,paran,G80
ותקח,514,10,yTomo,G80
לו,36,9,paraEl,G80
אמו,47,11,suMadre,G80
אשה,306,9,unaMujer,G80
מארץ,1141,7,deTierraDe,G80
מצרים,940,13,egipto,G80
ויהי,31,4,yFue,G80
בעת,472,13,enElTiempo,G80
ההוא,17,8,elAquel,G80
ויאמר,257,14,yDijo,G80
אבימלך,583,16,abimelec,G80
ופיכל,146,11,yFicol,G80
שר,500,5,jefeDe,G80
צבאו,99,18,suEjercito,G80
אל,31,4,a,G80
אברהם,808,16,abraham,G80
לאמר,271,10,aDecir,G80
אלהים,646,16,dios,G80
עמך,610,7,contigo,G80
בכל,52,7,enTodo,G80
אשר,501,6,que,G80
אתה,406,10,tu,G80
עשה,375,15,haciendo,G80
ועתה,481,13,yHaora,G80
השבעה,382,13,jura,G80
לי,40,4,aMi,G80
באלהים,648,18,porDios,G80
הנה,60,6,aQui,G80
אם,601,7,no,G80
תשקר,1000,1,tratarasFalsamente,G80
לי,40,4,aMi,G80
ולניני,156,12,yaMiNiño,G80
ולנכדי,120,3,yAmiDeDecendiente,G80
כחסד,92,11,comolaMisericordia,G80
אשר,501,6,que,G80
עשיתי,790,16,hice,G80
עמך,610,7,contigo,G80
תעשה,775,19,muestra,G80
עמדי,124,7,conMigo,G80
ועם,676,19,yCon,G80
הארץ,1106,8,laTierra,G80
אשר,501,6,que,G80
גרתה,608,14,habitas,G80
בה,7,7,enElla,G80
ויאמר,257,14,yDijo,G80
אברהם,808,16,abraham,G80
אנכי,81,9,yo,G80
אשבע,373,13,juro,G80
והוכח,45,9,ySeQuejo,G80
אברהם,808,16,abraham,G80
את,401,5,a,G80
אבימלך,583,16,abimelec,G80
על,100,1,sobre,G80
אדות,411,6,causaDe,G80
באר,203,5,pozoDe,G80
המים,655,16,lasAguas,G80
אשר,501,6,que,G80
גזלו,46,10,quitaron,G80
עבדי,86,14,siervosDe,G80
אבימלך,583,16,abimelec,G80
ויאמר,257,14,yDijo,G80
אבימלך,583,16,abimelec,G80
לא,31,4,no,G80
ידעתי,494,17,sabia,G80
מי,50,5,quien,G80
עשה,375,15,hizo,G80
את,401,5,**,G80
הדבר,211,4,laCosa,G80
הזה,17,8,laEsta,G80
וגם,609,15,yTabine,G80
אתה,406,10,tu,G80
לא,31,4,no,G80
הגדת,412,7,dijiste,G80
לי,40,4,aMi,G80
וגם,609,15,yTambien,G80
אנכי,81,9,yo,G80
לא,31,4,no,G80
שמעתי,820,10,escuche,G80
בלתי,442,10,nada,G80
היום,621,9,hastaHoy,G80
ויקח,124,7,yTomo,G80
אברהם,808,16,abraham,G80
צאן,791,17,ovejas,G80
ובקר,308,11,yVacas,G80
ויתן,1116,9,yDio,G80
לאבימלך,613,10,aAbimelej,G80
ויכרתו,642,12,eHicieron,G80
שניהם,965,20,ellosDos,G80
ברית,612,9,pacto,G80
ויצב,108,9,ySeparo,G80
אברהם,808,16,abraham,G80
את,401,5,**,G80
שבע,372,12,siete,G80
כבשת,722,11,corderasDe,G80
הצאן,796,22,elRebaño,G80
לבדהן,741,12,aparte,G80
ויאמר,257,14,yDijo,G80
אבימלך,583,16,abimelec,G80
אל,31,4,a,G80
אברהם,808,16,abraham,G80
מה,45,9,que,G80
הנה,60,6,estas,G80
שבע,372,12,siete,G80
כבשת,722,11,corderas,G80
האלה,41,5,lasEstas,G80
אשר,501,6,que,G80
הצבת,497,20,separaste,G80
לבדנה,91,10,aparte,G80
ויאמר,257,14,yDijo,G80
כי,3,3,que,G80
את,401,5,**,G80
שבע,372,12,siete,G80
כבשת,722,11,corderas,G80
תקח,508,13,tomaras,G80
מידי,64,10,deMiMano,G80
בעבור,280,10,paraQue,G80
תהיה,420,6,seas,G80
לי,40,4,paraMi,G80
לעדה,109,10,paraTestigo,G80
כי,3,3,que,G80
חפרתי,698,23,cave,G80
את,401,5,**,G80
הבאר,208,10,elPozo,G80
הזאת,413,8,elEste,G80
על,100,1,por,G80
כן,720,9,esto,G80
קרא,301,4,llamo,G80
למקום,776,20,alLugar,G80
ההוא,17,8,elAquel,G80
באר,203,5,beer,G80
שבע,372,12,seba,G80
כי,3,3,porQue,G80
שם,900,9,alli,G80
נשבעו,428,14,juraron,G80
שניהם,965,20,ellosDos,G80
ויכרתו,642,12,eHicieron,G80
ברית,612,9,pacto,G80
בבאר,205,7,enBeer,G80
שבע,372,12,seba,G80
ויקם,716,14,ySeLevanto,G80
אבימלך,583,16,abimelec,G80
ופיכל,146,11,yFicol,G80
שר,500,5,jefeDe,G80
צבאו,99,18,suEjercito,G80
וישבו,324,9,yVolvieron,G80
אל,31,4,a,G80
ארץ,1101,3,tierraDe,G80
פלשתים,1420,7,filisteos,G80
ויטע,95,14,yPlanto,G80
אשל,331,7,untamariseo,G80
בבאר,205,7,enBeer,G80
שבע,372,12,seba,G80
ויקרא,317,11,eInvoco,G80
שם,900,9,alli,G82
בשם,902,11,enNombreDe,G82
יהוה,26,8,ashem,G82
אל,31,4,dios,G82
עולם,706,13,eterno,G82
ויגר,219,12,yMoro,G82
אברהם,808,16,abraham,G82
בארץ,1103,5,enTierrasDe,G82
פלשתים,1420,7,filisteos,G82
ימים,660,12,dias,G82
רבים,812,11,muchos,G82
ויהי,31,4,yFue,G82
אחר,209,11,tras,G82
הדברים,821,11,lasCosas,G82
האלה,41,5,lasEstas,G82
והאלהים,657,18,queElDios,G82
נסה,115,7,probo,G82
את,401,5,a,G82
אברהם,808,16,abraham,G82
ויאמר,257,14,yDijo,G82
אליו,47,11,aEl,G82
אברהם,808,16,abraham,G82
ויאמר,257,14,yDijo,G82
הנני,115,7,hemeAqui,G82
ויאמר,257,14,yDijo,G82
קח,108,9,toma,G82
נא,51,6,ahora,G82
את,401,5,**,G82
בנך,552,12,tuHijo,G82
את,401,5,**,G82
יחידך,532,10,tuUnico,G82
אשר,501,6,que,G82
אהבת,408,12,amas,G82
את,401,5,a,G82
יצחק,208,10,isaac,G82
ולך,536,14,yVe,G82
לך,530,8,tuMismo,G82
אל,31,4,a,G82
ארץ,1101,3,tierraDe,G82
המריה,260,8,elMoriah,G82
והעלהו,122,5,ySacrificalo,G82
שם,900,9,alli,G82
לעלה,135,9,paraHolocausto,G82
על,100,1,sobre,G82
אחד,13,4,unaDe,G82
ההרים,820,10,lasMontañas,G82
אשר,501,6,que,G82
אמר,241,7,dire,G82
אליך,541,10,aTi,G82
וישכם,936,18,ySeLevanto,G82
אברהם,808,16,abraham,G82
בבקר,304,7,porLaMañana,G82
ויחבש,326,11,yEnalbardo,G82
את,401,5,**,G82
חמרו,254,11,suAsno,G82
ויקח,124,7,yTomo,G82
את,401,5,**,G82
שני,360,9,dosDe,G82
נעריו,336,12,susServidores,G82
אתו,407,11,conEl,G82
ואת,407,11,yA,G82
יצחק,208,10,isaac,G82
בנו,58,13,suHijo,G82
ויבקע,188,17,yConto,G82
עצי,170,8,maderaDe,G82
עלה,105,6,holocausto,G82
ויקם,716,14,ySeLevanto,G82
וילך,546,15,yMarcho,G82
אל,31,4,a,G82
המקום,751,13,elLugar,G82
אשר,501,6,que,G82
אמר,241,7,dijo,G82
לו,36,9,aEl,G82
האלהים,651,12,elDios,G82
ביום,618,15,enElDia,G82
השלישי,655,16,elTercero,G82
וישא,317,9,levanto,G82
אברהם,808,16,abraham,G82
את,401,5,**,G82
עיניו,146,11,susOjos,G82
וירא,217,10,yVio,G82
את,401,5,**,G82
המקום,751,13,elLugar,G82
מרחק,348,15,deLejos,G82
ויאמר,257,14,yDijo,G82
אברהם,808,16,abraham,G82
אל,31,4,a,G82
נעריו,336,12,susServidores,G82
שבו,308,11,quedad,G82
לכם,650,11,vosotros,G82
פה,85,13,aqui,G82
עם,670,13,con,G82
החמור,259,16,elAsno,G82
ואני,67,13,yYo,G82
והנער,331,7,yElJoven,G82
נלכה,105,6,vamos,G82
עד,74,11,hasta,G82
כה,25,7,alli,G82
ונשתחוה,775,19,yAdoraremos,G82
ונשובה,369,18,yVolveremos,G82
אליכם,661,13,aVosotros,G82
ויקח,124,7,yTomo,G82
אברהם,808,16,abraham,G82
את,401,5,**,G82
עצי,170,8,leñaDe,G82
העלה,110,2,elHolocausto,G82
וישם,916,16,yPuso,G82
על,100,1,sobre,G82
יצחק,208,10,isaac,G82
